head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number,canonical_relation
"R V Raveendran, J",Court Official - Judge or Bench,delivered by,Judgment,Judgment,A judge delivers a judgment in court proceedings.,"The Judgment was delivered by: R V Raveendran, J",6,delivered by
Mr. A. Kumar,Plaintiff,filed a lawsuit against,Acme Corporation,Defendant,The plaintiff initiated legal action against the defendant.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",7,files a lawsuit against
12 March 2023,Date and Time,date of filing,Lawsuit,Lawsuit,The specific date when the legal action was initiated.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",7,date of filing
Lawsuit,Lawsuit,filed in,Delhi High Court,Court,The legal action was initiated and processed by the court.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",7,issues regarding
Appeals,Appeal,are filed against,common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000,Judgment,The Appeals are legal actions taken to challenge or overturn a court's decision.,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8,appeals against
Madras High Court,Court,passed,common order dated 2932001 allowing Crl.OP Nos2418 of 1999 and 1563 of 2000,Judgment,The court issued a decision or order.,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8,renders decision in
common order,Judgment,allowing,Crl.OP Nos2418 of 1999 and 1563 of 2000,Criminal Case,The judgment permits or grants permission to the mentioned cases.,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8,grants leave to
OP No2418 of 1999,Date and Time,pertaining to,Petition,Petition,A legal reference indicating a petition number associated with a specific year.,OP Nos2418 of 1999 and 1563 of 2000.,9,pertaining to
OP No1563 of 2000,Date and Time,pertaining to,Petition,Petition,A legal reference indicating a petition number associated with a specific year.,OP Nos2418 of 1999 and 1563 of 2000.,9,pertaining to
the appellant,Appellant,quashing,the complaints filed by the appellant against two petitions,Case,An appellant is seeking dismissal of complaints or cases against them.,"herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against two petitions in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No.286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",11,appeals against
Indian Oil Corporation,Appellant,v,NEPC India Limited and Others,Defendant,Indicates a legal action brought by the Plaintiff against the Defendant.,Indian Oil Corporation v NEPC India Limited and Others,1,initiates litigation against
The appellant,Appellant,entered into,Contracts,Contract,The legal act of creating a binding agreement between parties.,The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with the first respondent (NEPC India Ltd) sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,14,enters agreement with
Indian Oil Corporation,Appellant,agreed to supply,NEPC India Ltd,Organization,An agreement to provide goods or services under the terms of a contract.,The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with the first respondent (NEPC India Ltd) sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,14,agreed to supply
Indian Oil Corporation,Appellant,agreed to supply,Skyline NEPC Limited,Organization,An agreement to provide goods or services under the terms of a contract.,The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with the first respondent (NEPC India Ltd) sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,14,agreed to supply
Ms. Anika Bose,Lawyer,represented,Mr. Dinesh Chandra,Defendant,A lawyer acting on behalf of a defendant in legal proceedings.,Ms. Anika Bose represented the defendant Mr. Dinesh Chandra in this matter.,13,is defended by
Appellant,Appellant,in respect of,the aircraft fuel supplied under the said contracts,Contract,The appellant refers to the context regarding the supply of aircraft fuel under specific contracts.,According to the appellant in respect of the aircraft fuel supplied under the said contracts the first respondent (NEPC India Ltd) became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.,15,in respect of
first respondent (NEPC India Ltd),Respondent,became due in a sum of,Rs.5 28 23 501.90 as on 2941997,Date and Time,The first respondent is liable for an amount under the contracts as of a specific date.,According to the appellant in respect of the aircraft fuel supplied under the said contracts the first respondent (NEPC India Ltd) became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.,15,became due in a sum of
Skyline,Organization,became due in a sum of,Rs.13 12 76 421.25 as on 2941997,Date and Time,Skyline is liable for an amount under the contracts as of a specific date.,According to the appellant in respect of the aircraft fuel supplied under the said contracts the first respondent (NEPC India Ltd) became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.,15,became due in a sum of
Cl. (2) of the said Deed,Contract,provided that,the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge,Provision,Specifies a legal provision within the contract regarding the hypothecation of aircraft as security.,Cl. (2) of the said Deed provided that the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge and as security for payment of the amounts due with effect from the date of hypothecation.,19,provided that
the two aircrafts,Property,stood hypothecated to,IOC,Plaintiff,Indicates that the aircrafts are collateral for payment obligations.,Cl. (2) of the said Deed provided that the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge and as security for payment of the amounts due with effect from the date of hypothecation.,19,stood hypothecated to
NEPC India,Defendant,required written consent from,IOC,Plaintiff,"NEPC India is restricted by clause (6) to seek written consent from IOC before assigning, selling, or otherwise encumbering the two aircrafts.",Under clause (6) NEPC India declared that 6) NEPC India would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,23,determines applicability of
Cl. 12,Clause,confirmed,NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive the aircraft back only after paying the amounts due.,Contractual Action,A clause confirming a specific action or agreement within a contract.,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive the aircraft back only after paying the amounts due.,26,confirmed
NEPC India,Defendant,had handed over,title deeds relating to the aircraft to IOC,Title Deeds,The transfer of ownership documents from NEPC India to IOC.,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive the aircraft back only after paying the amounts due.,26,had handed over
NEPC India,Defendant,agreed to receive the aircraft back only after,paying the amounts due,Condition,The obligation for NEPC India to receive the aircraft back contingent on payment.,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive the aircraft back only after paying the amounts due.,26,agreed to receive the aircraft back only after
IOC NEPC India,Party,entered into,Tripartite Agreement,Contract,Indicates that IOC NEPC India is a party to the tripartite agreement.,It is further stated that a tripartite agreement dated 651997 was entered among IOC NEPC India and Skyline setting out the mode of payment of the dues and recovery in the event of default.,28,entered into
Skyline,Organization,entered into,Tripartite Agreement,Contract,Indicates that Skyline is a party to the tripartite agreement.,It is further stated that a tripartite agreement dated 651997 was entered among IOC NEPC India and Skyline setting out the mode of payment of the dues and recovery in the event of default.,28,entered into
Skyline,Organization,hypothecated,It aircraft (VT ECP),Property,Skyline secured an interest in the aircraft as collateral under a Hypothecation Deed.,It is stated that Skyline also hypothecated It aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,27,hypothecated
Hypothecation Deed,Legal Document,dated,1451997,Date and Time,The Hypothecation Deed was executed on a specific date.,It is stated that Skyline also hypothecated It aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,27,dated
NEPC India,Defendant,failed to pay installments as per schedule,IOC stopped supply of aircraft fuel on 361997,Action Taken,The failure by NEPC India to adhere to the payment schedule resulted in IOC ceasing the supply of aircraft fuel.,As NEPC India failed to pay the first two installments as per schedule IOC stopped supply of aircraft fuel on 361997.,31,failed to pay installments as per schedule
a fresh agreement,Agreement,was agreed under,revised payment schedule,Payment Schedule,An agreement is a legally binding contract that sets terms for payment.,However subsequently under a fresh agreement dated 2091997 a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.,32,establishes agreement between
IOC,Plaintiff,agreed to re commence,supply of aircraft fuel,Supply Agreement,The organization entered into an agreement to provide goods under specific terms.,However subsequently under a fresh agreement dated 2091997 a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.,32,agreed to re commence
IOC,Plaintiff,filed a suit,City Civil Court Chennai,Court,The legal action taken by IOC to seek a mandatory injunction in the court.,In regard to the other hypothecated aircraft (VT NEK) kept at Meenambakkam (Chennai) Airport IOC filed a suit (OS No.3327 1998) in the City Civil Court Chennai for a similar mandatory injunction.,40,filed a suit
IOC,Plaintiff,filed,the two complaints,Complaint,The Organization filed legal complaints against other entities.,IOC filed the two complaints against NEPC India and NEPC India two Directors (respondents 2 3 herein) in July 1998 u section,43,files complaint against
July 1998,Date and Time,in,the two complaints,Complaint,The legal complaints were filed during this specific time period.,IOC filed the two complaints against NEPC India and NEPC India two Directors (respondents 2 3 herein) in July 1998 u section,43,in
200 of Code of Criminal Procedure,Statute,alleging,unauthorized removal of the engines and certain other parts from the two hypothecated aircraft,Criminal Act,A reference to a specific section of the Code of Criminal Procedure that is alleged to have been violated.,200 of Code of Criminal Procedure alleging unauthorized removal of the engines and certain other parts from the two hypothecated aircraft.,44,alleging
