entity,entity_types
"R V Raveendran, J",['Court Official - Judge or Bench']
Judgment,"['Judgment', 'Ratio-Decidendi']"
Mr. A. Kumar,['Plaintiff']
Acme Corporation,['Defendant']
12 March 2023,['Date and Time']
Lawsuit,['Lawsuit']
Delhi High Court,['Court']
Appeals,['Appeal']
common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000,['Judgment']
Madras High Court,['Court']
common order dated 2932001 allowing Crl.OP Nos2418 of 1999 and 1563 of 2000,['Judgment']
common order,['Judgment']
Crl.OP Nos2418 of 1999 and 1563 of 2000,['Criminal Case']
OP No2418 of 1999,['Date and Time']
Petition,['Petition']
OP No1563 of 2000,['Date and Time']
the appellant,['Appellant']
the complaints filed by the appellant against two petitions,['Case']
Indian Oil Corporation,"['Plaintiff', 'Appellant']"
NEPC India Limited and Others,['Defendant']
The appellant,['Appellant']
Contracts,['Contract']
NEPC India Ltd,['Organization']
Skyline NEPC Limited,['Organization']
Ms. Anika Bose,['Lawyer']
Mr. Dinesh Chandra,['Defendant']
Appellant,"['Party', 'Appellant']"
the aircraft fuel supplied under the said contracts,['Contract']
first respondent (NEPC India Ltd),['Respondent']
Rs.5 28 23 501.90 as on 2941997,['Date and Time']
Skyline,"['Organization', 'Party']"
Rs.13 12 76 421.25 as on 2941997,['Date and Time']
Cl. (2) of the said Deed,['Contract']
the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge,['Provision']
the two aircrafts,['Property']
IOC,"['Party', 'Organization', 'Company', 'Defendant', 'Plaintiff']"
NEPC India,"['Party', 'Defendant', 'Organization']"
Cl. 12,['Clause']
NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive the aircraft back only after paying the amounts due.,['Contractual Action']
title deeds relating to the aircraft to IOC,['Title Deeds']
paying the amounts due,['Condition']
IOC NEPC India,['Party']
Tripartite Agreement,['Contract']
It aircraft (VT ECP),['Property']
Hypothecation Deed,"['Contract', 'Legal Document']"
1451997,['Date and Time']
IOC stopped supply of aircraft fuel on 361997,['Action Taken']
a fresh agreement,['Agreement']
revised payment schedule,['Payment Schedule']
supply of aircraft fuel,['Supply Agreement']
City Civil Court Chennai,['Court']
the two complaints,"['Lawsuit', 'Complaint']"
July 1998,['Date and Time']
200 of Code of Criminal Procedure,['Statute']
