predicate,definition
evaluates reliability of,The court examines the credibility of a witness's testimony.
interprets on behalf of,A lawyer analyzes the legal implications of a provision for the plaintiff's case.
interprets in,The court applies its understanding of a legal provision in making a decision.
advocates in favor of,The lawyer represents the appellant's interests during court proceedings.
drafts petition for,The lawyer prepares a formal request for appeal on behalf of the appellant.
collects from,The police gather evidence from the location of the crime scene.
interrogates at,The police question the suspect present at a crime scene.
responds to arguments from,The court considers the lawyer's arguments when delivering its decision.
enables enforcement of,The government provides legal authority to a court to implement a statute.
files against,The plaintiff initiates a legal case against the organization.
enforces rules for,The government applies regulatory standards to organizations within its jurisdiction.
charges with,The government formally accuses the defendant of committing a criminal act.
withdraws from,The plaintiff ends legal proceedings against the defendant in a lawsuit.
argues grounds for,The lawyer presents reasons to justify the appellant's appeal.
assists in defense of,The government provides support to the defendant during a lawsuit.
advocates for in,The lawyer represents the plaintiff in a legal case.
applies laws to,Jurisdiction governs how statutes are applied to organizations operating within its territory.
enforces compliance with,The government ensures a company adheres to statutory requirements.
interprets relevance of,The court determines how a legal provision applies to the specifics of a case.
links to,The police connect the suspect to evidence at the crime scene.
is investigated for,A crime scene is examined to gather evidence linked to the location.
challenges authenticity of,The plaintiff questions the validity of evidence submitted by the respondent.
appeals against,The lawyer contests a court's decision on behalf of the appellant.
violates under,The organization is accused of infringing copyright laws as defined by a statute.
regulates execution of,The government oversees the terms and conditions of a company's contract.
evaluates compliance with,The police review evidence to ensure it aligns with statutory requirements.
upholds authority of,The jurisdiction recognizes the court's power to issue a decision.
sues for,The plaintiff files a lawsuit against the defendant for copyright infringement.
dismisses case against,The court rejects a lawsuit filed against the defendant.
enters agreement with,The government and an organization formalize a legal contract for mutual obligations.
seeks reparation in,The plaintiff requests compensation from the defendant in a lawsuit.
interprets application of,The court determines how a statute applies to the specific case at hand.
binds,A contract legally obligates parties or organizations to fulfill agreed-upon terms.
seeks enforcement of,The plaintiff requests the court to enforce a decision against an organization.
upholds under,The government ensures the case adheres to the requirements of a statute.
questions application of,The petitioner challenges how a provision applies to the defendant's case.
oversees implementation of,The government ensures that organizations adhere to contractual obligations.
seeks reconsideration of,The defendant requests the court to reexamine its decision.
is sued in,An organization becomes the defendant in a lawsuit filed by a plaintiff.
denies allegations in,The defendant contests accusations of a criminal act during a court trial.
promotes awareness of,The government educates the public about legal provisions for copyright infringement.
determines applicability for,Jurisdiction defines how legal statutes apply to an organization operating in its scope.
provides for,The witness offers testimony supporting the evidence presented in the case.
advocates for in,The lawyer defends the petitioner's rights in a legal case.
alleges violation of,The plaintiff claims that the company has breached terms outlined in a contract.
seeks hearing in,The plaintiff requests the court to adjudicate a legal case.
bases judgment on,The court derives its decision from the interpretation of a legal statute.
confesses to,The suspect admits to committing a crime during an interrogation by the police.
convicts of,The court finds the defendant guilty of committing a criminal act.
requests dismissal for,The lawyer petitions the court to terminate the lawsuit against the defendant.
alleges,The plaintiff accuses the respondent of violating copyright laws.
investigates presence of,The police examine the crime scene for evidence implicating the suspect.
imposes regulations on,The government enforces rules on companies operating within its jurisdiction.
advises in,The lawyer provides counsel to the defendant regarding the lawsuit.
questions at,The police interrogate the suspect at the scene of the crime.
appears in,The defendant attends court proceedings for a specific case.
applies sanctions under,The government imposes penalties on an organization under a specific statute.
is identified as,A location is designated as the scene of a crime under investigation.
dismisses claims of,The court rejects the plaintiff's claims in its decision.
is violated by,Copyright or trademark rights are infringed upon by an individual or company unlawfully.
monitors compliance with,The government ensures that an organization adheres to the terms of a contract.
seeks enforcement of,The plaintiff requests the court to compel the respondent to honor a contract.
corroborates discovery at,The witness confirms details about evidence found at the crime scene.
challenges validity of,The defendant disputes the credibility or relevance of the testimony provided by a witness.
seeks protection of,The plaintiff demands safeguarding of their intellectual property rights from an organization.
initiates legal action against,The plaintiff starts a lawsuit against the organization for alleged wrongdoing.
seeks to discredit,The defendant attempts to undermine the credibility of a witness's testimony.
handles filing of,The lawyer manages the appeal process on behalf of the defendant.
enacts rules for,The government formulates statutes to regulate the organization's activities.
analyzes from,The police examine evidence collected from the crime scene for clues.
elaborates in,A judge explains the ratio decidendi during the judgment of a case.
provides account involving,The witness testifies about events related to the suspect.
challenges legality of,The defendant disputes the applicability or legality of a specific provision or statute.
grants leave to,The court allows the plaintiff to proceed with the lawsuit.
prepares defense for,The lawyer formulates arguments to support the defendant in an appeal.
detains at,The police take the suspect into custody at the crime scene.
provides rebuttal against,A defendant counters the evidence presented against them in a legal proceeding.
assigns venue for,The jurisdiction designates a specific court to handle the lawsuit.
claims breach of,The plaintiff accuses the respondent of violating terms of a contract.
