head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number
Definition,statute,demonstrated that they are not in the position of fixing,deal,contract,The statute demonstrates that they are unable to fix a contract.,The definition demonstrated that they are not in the position of fixing a deal.,7
Cr.A.No 834,Criminal Act,refers to,of 2002,year,The case number refers to criminal acts that occurred in the year 2002.,Cr.A.No 834 of 2002 refers to criminal acts that occurred in the year 2002.,5
Cr.A.No 834 of 2002,,,,,,Cr.A.No 834 of 2002,5
20 July 2006,Date and Time,,,,,20 July 2006,4
Judgment,judgment,was delivered by,"R V Raveendran, J",judge,the judgment was delivered by the judge.,"The Judgment was delivered by: R V Raveendran, J",6
Judgment,Judgment or Decree,was delivered by,R V Raveendran,Justice,The judgment was delivered by the justice.,"The Judgment was delivered by: R V Raveendran, J",6
R V Raveendran,Court Official - Judge or Bench,delivered by,judgment,Court proceeding,The court official delivered the judgment.,"The judgment was delivered by: R V Raveendran, J",6
These appeals,case,filed against,common order,judgment,The case (appeals) was filed against the judgment (common order).,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
common order,judgment,passed by,Madras High Court,court,The judgment (common order) was passed by the court (Madras High Court).,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
These appeals,appeals,filed against,common order,criminal order,these appeals were filed against the criminal order.,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
These appeals,Appeal(s),filed against,the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,Court Official - Judge or Bench,,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
Crl.OP No2418 of 1999,Case Number,allowed by,the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,Court Official - Judge or Bench,,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
